X,Z,Accumulation_sb_m
0.0,0.0,0.0
2490000.0,-665.2305280980121,-8.311951679069996e-05
2480000.0,-610.328064915756,-21.918240684768357
2460000.0,-539.1648734698665,-31.888822764506497
2270000.0,-158.26898974058093,-35.07026254920297
2270000.0,-123.73615519241572,-35.80046518382826
2280000.0,-100.25850992976417,-40.143857781109894
2290000.0,-77.49671174209573,-43.0802060913911
2290000.0,-48.03871364567514,-45.617525440035294
2310000.0,-54.84560039548622,-48.06072127943631
2320000.0,-43.651226893655256,-50.41995824167307
2320000.0,-30.648050862014056,-52.68180770665705
2330000.0,-29.36272645907003,-54.90126341676999
2340000.0,-36.14224344461903,-57.00429948709874
2350000.0,-15.757227882386227,-59.03737131237666
2370000.0,-11.472949664549072,-61.03020822355626
2380000.0,-15.202712281970776,-62.92337423423272
2390000.0,-18.72052160467912,-64.74891898324475
2390000.0,-10.138016923905903,-66.49177958510428
2400000.0,-26.401586771638357,-68.20928169361295
2410000.0,-16.470889712988242,283.69438088804844
2430000.0,-7.977932475957275,306.89756961537427
2440000.0,-7.951594280498551,319.61836420667703
2450000.0,-7.769909233195004,334.29901681547193
2460000.0,-12.101761374121196,345.3610896397773
2470000.0,-13.9289711857648,-23.42234683440654
2480000.0,-13.99327342312806,367.2215188968409
2490000.0,-11.57072780137559,381.2848171233218
2500000.0,-13.4658049467432,392.773523755551
2510000.0,-16.11204834357955,404.3569412542441
2530000.0,-19.160621047423284,427.22568315779745
2540000.0,-26.845970409566494,-7.755832073465179
2550000.0,-40.78417645307478,452.3865368418746
2550000.0,-38.996464314574915,458.15234382707564
2560000.0,-46.19993003286913,473.66663761672027
2570000.0,-50.823520067082534,485.3362197760154
2570000.0,-41.44062835441528,498.5115899082281
2590000.0,-59.24355530886589,519.5113417329329
2600000.0,-47.89222595842731,540.9731557127651
2610000.0,-54.64049244888249,553.2887664724814
2610000.0,-44.17049802037275,567.2091540172619
2620000.0,-45.23943729938567,582.799215222635
2640000.0,-57.035427620458634,619.0595236577467
2650000.0,-61.44888068746422,627.1927257463317
2650000.0,-53.78249241085247,636.3433154806605
2660000.0,-63.52636253186402,642.8103408267093
2670000.0,-70.96831197416353,660.9889883096266
2680000.0,-53.87669497240185,696.2251157601127
2700000.0,-56.24653127307303,729.1307696268752
2700000.0,-56.24691075694089,729.1305504564766
2700000.0,-56.24729022999893,730.1130646052248
2710000.0,-57.26864793581093,771.6060734928989
2720000.0,-64.49346677634367,789.1102360144127
2720000.0,-47.6259282196392,812.8548667094549
2730000.0,-52.60056523160255,841.7250259562384
2730000.0,-52.60048818044335,841.7244798441473
2730000.0,-52.60041117294415,845.8114181420801
2730000.0,-52.60033420943416,845.811181852411
2740000.0,-66.81269089211274,855.7706157353933
2740000.0,-66.81243695491476,855.7703337592533
2740000.0,-66.81218308653,855.770051877064
2740000.0,-66.81192928781492,855.7697700899851
2740000.0,-66.81167555865348,855.7694883978484
2750000.0,-65.0273717294561,881.1774845096166
2750000.0,-52.27268778166792,1061.3677389314275
2760000.0,-48.20402308384274,946.5130247046458
2760000.0,-48.204538074004766,946.5129182527337
2770000.0,-50.37739079157082,971.3611844379834
2780000.0,-43.252261873780945,1012.5612373073409
2790000.0,-51.46616027765502,1055.6563367749786
2800000.0,-51.874005571544956,1091.0579295520315
2810000.0,-73.42027346034936,1108.5687963182427
2810000.0,-72.13844361785583,1112.5296341311328
2810000.0,-69.30980147395401,1136.0126954477655
2810000.0,-63.49862550038908,1155.1519041244471
2830000.0,-84.72751207754563,1207.26870964845
2850000.0,-83.74927680016836,1290.1048458884113
2860000.0,-91.43212062933709,1315.182390823399
2860000.0,-90.23818056728759,1316.46534367839
2860000.0,-90.23827193794594,1318.6171482934137
2870000.0,-97.67328390034697,1346.814007364093
2870000.0,-83.88809609313962,1369.2536286072148
2880000.0,-118.26461657809793,1379.355645461317
2880000.0,-117.85944979795524,1383.5945627796827
2880000.0,-117.4649459711923,1384.73994907271
2900000.0,-104.8459826440621,1456.2541134336439
2930000.0,-127.4300139478982,1508.0872644093333
2950000.0,-129.3563639768962,534.7935857516612
2950000.0,-117.26729308753231,544.7131628345325
2950000.0,-116.60864922290327,544.7130283301148
2960000.0,-122.02174551686775,554.479007307704
2970000.0,-99.72304821176617,581.3802254150295
2980000.0,-104.0049372944928,602.5287796740442
2990000.0,-115.71389953369186,617.9817529651317
2990000.0,-106.52211133290696,629.0617204738218
3000000.0,-98.28350415856886,648.0998195154563
3010000.0,-112.4148169145991,658.2479978158105
3010000.0,-112.41515170568162,658.2477235221979
3010000.0,-108.71075836603434,663.1912451828957
3020000.0,-109.70785952374655,684.8631446340277
3020000.0,-102.7457959152743,687.9724245365322
3030000.0,-90.03795968484636,722.890986227341
3040000.0,-92.91019979179572,742.9405479102652
3050000.0,-96.5967900589779,758.6463127136627
3060000.0,-98.46628576310498,774.7678661087518
3060000.0,-89.20337419231116,1698.1290683438162
3060000.0,-89.20394769499494,1698.1276084126582
3060000.0,-89.20452112200927,1698.1261486726655
3060000.0,-89.20509447460105,1698.124689120687
3060000.0,-89.20566775178341,1698.1232297592144
3060000.0,-89.20624095269359,1698.1217705904214
3060000.0,-83.91567152216966,1713.1210904643656
3070000.0,-77.88003090317208,811.509579552931
3080000.0,-66.00846169344399,842.7491663410555
3090000.0,-64.06820166242083,863.4383342682955
3100000.0,-70.55854869566271,886.1021400727592
3110000.0,-80.18426327898143,900.3990057159849
3110000.0,-80.18526303461914,900.398942022646
3120000.0,-74.60213366645296,1696.326940260495
3130000.0,-68.77816212877272,1750.8672105749963
